Date,equity,cash,is_month_start,rebalanced,rebalance_reason,qqq_close,qqq_shares,qqq_weight,qqq_signal_today,qqq_pending_intent,qqq_pending_reason,qqq_pending_delta,qqq_executed_intent,qqq_exec_side,qqq_exec_shares,qqq_exec_price,spy_close,spy_shares,spy_weight,spy_signal_today,spy_pending_intent,spy_pending_reason,spy_pending_delta,spy_executed_intent,spy_exec_side,spy_exec_shares,spy_exec_price,gld_close,gld_shares,gld_weight,gld_signal_today,gld_pending_intent,gld_pending_reason,gld_pending_delta,gld_executed_intent,gld_exec_side,gld_exec_shares,gld_exec_price
2004-11-18,10000000,10000000,False,False,,33.156448,0,0.0,hold,,,0.0,,,0,0.0,79.950699,0,0.0,hold,,,0.0,,,0,0.0,44.380001,0,0.0,hold,,,0.0,,,0,0.0
2004-11-19,10000000,10000000,False,False,,32.641697,0,0.0,hold,,,0.0,,,0,0.0,79.06192,0,0.0,hold,,,0.0,,,0,0.0,44.779999,0,0.0,hold,,,0.0,,,0,0.0
2004-11-22,10000000,10000000,False,False,,32.953922,0,0.0,hold,,,0.0,,,0,0.0,79.43898,0,0.0,hold,,,0.0,,,0,0.0,44.950001,0,0.0,hold,,,0.0,,,0,0.0
2004-11-23,10000000,10000000,False,False,,32.903309,0,0.0,hold,,,0.0,,,0,0.0,79.56015,0,0.0,hold,,,0.0,,,0,0.0,44.75,0,0.0,hold,,,0.0,,,0,0.0
2004-11-24,10000000,10000000,False,False,,33.190216,0,0.0,hold,,,0.0,,,0,0.0,79.748672,0,0.0,hold,,,0.0,,,0,0.0,45.049999,0,0.0,hold,,,0.0,,,0,0.0
2004-11-26,10000000,10000000,False,False,,33.088943,0,0.0,hold,,,0.0,,,0,0.0,79.688103,0,0.0,hold,,,0.0,,,0,0.0,45.290001,0,0.0,hold,,,0.0,,,0,0.0
2004-11-29,10000000,10000000,False,False,,33.080521,0,0.0,hold,,,0.0,,,0,0.0,79.324516,0,0.0,hold,,,0.0,,,0,0.0,45.400002,0,0.0,hold,,,0.0,,,0,0.0
2004-11-30,10000000,10000000,False,False,,33.012989,0,0.0,hold,,,0.0,,,0,0.0,79.378365,0,0.0,hold,,,0.0,,,0,0.0,45.119999,0,0.0,hold,,,0.0,,,0,0.0
2004-12-01,10000000,10000000,True,False,,33.688107,0,0.0,hold,,,0.0,,,0,0.0,80.28064,0,0.0,hold,,,0.0,,,0,0.0,45.380001,0,0.0,hold,,,0.0,,,0,0.0
2004-12-02,10000000,10000000,False,False,,33.814705,0,0.0,hold,,,0.0,,,0,0.0,80.347961,0,0.0,hold,,,0.0,,,0,0.0,44.950001,0,0.0,hold,,,0.0,,,0,0.0
