Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price,gld_close,gld_shares,gld_weight,gld_signal_today,gld_pending_intent,gld_pending_reason,gld_pending_delta,gld_executed_intent,gld_exec_side,gld_exec_shares,gld_exec_price,tlt_close,tlt_shares,tlt_weight,tlt_signal_today,tlt_pending_intent,tlt_pending_reason,tlt_pending_delta,tlt_executed_intent,tlt_exec_side,tlt_exec_shares,tlt_exec_price
2007-04-09,10000000,10000000,False,False,,4.706195,0,0.0,hold,,,0.0,,,0,0.0,1.216407,0,0.0,hold,,,0.0,,,0,0.0,66.529999,0,0.0,buy,ENTER_TO_TARGET,signal_buy+rebalance,1500000.0,,,0,0.0,47.758514,0,0.0,buy,ENTER_TO_TARGET,signal_buy+rebalance,1500000.0,,,0,0.0
2007-04-10,9991712,7000073,False,False,,4.710994,0,0.0,hold,,,0.0,,,0,0.0,1.225821,0,0.0,hold,,,0.0,,,0,0.0,67.160004,22267,0.1497,hold,,,0.0,ENTER_TO_TARGET,buy,22267,67.160004,47.900982,31235,0.1497,hold,,,0.0,ENTER_TO_TARGET,buy,31235,47.879066
2007-04-11,9988902,7000073,False,False,,4.658207,0,0.0,hold,,,0.0,,,0,0.0,1.200766,0,0.0,hold,,,0.0,,,0,0.0,67.080002,22267,0.1495,hold,,,0.0,,,0,0.0,47.868065,31235,0.1497,hold,,,0.0,,,0,0.0
2007-04-12,9987241,7000073,False,False,,4.718993,0,0.0,hold,,,0.0,,,0,0.0,1.221621,0,0.0,hold,,,0.0,,,0,0.0,66.989998,22267,0.1494,hold,,,0.0,,,0,0.0,47.87904,31235,0.1497,hold,,,0.0,,,0,0.0
2007-04-13,10001547,7000073,False,False,,4.753117,0,0.0,hold,,,0.0,,,0,0.0,1.225966,0,0.0,hold,,,0.0,,,0,0.0,67.839996,22267,0.151,hold,,,0.0,,,0,0.0,47.731121,31235,0.1491,hold,,,0.0,,,0,0.0
2007-04-16,10022232,7000073,False,False,,4.842697,0,0.0,hold,,,0.0,,,0,0.0,1.247401,0,0.0,hold,,,0.0,,,0,0.0,68.400002,22267,0.152,hold,,,0.0,,,0,0.0,47.994118,31235,0.1496,hold,,,0.0,,,0,0.0
2007-04-17,10021710,7000073,False,False,,4.865629,0,0.0,hold,,,0.0,,,0,0.0,1.25247,0,0.0,hold,,,0.0,,,0,0.0,68.0,22267,0.1511,hold,,,0.0,,,0,0.0,48.262554,31235,0.1504,hold,,,0.0,,,0,0.0
2007-04-18,10037701,7000073,False,False,,4.868825,0,0.0,hold,,,0.0,,,0,0.0,1.24769,0,0.0,hold,,,0.0,,,0,0.0,68.379997,22267,0.1517,hold,,,0.0,,,0,0.0,48.503628,31235,0.1509,hold,,,0.0,,,0,0.0
2007-04-19,10016208,7000073,False,False,,4.872027,0,0.0,hold,,,0.0,,,0,0.0,1.248705,0,0.0,hold,,,0.0,,,0,0.0,67.529999,22267,0.1501,hold,,,0.0,,,0,0.0,48.421467,31235,0.151,hold,,,0.0,,,0,0.0
2007-04-20,10038324,7000073,False,False,,4.954675,0,0.0,hold,,,0.0,,,0,0.0,1.267532,0,0.0,hold,,,0.0,,,0,0.0,68.699997,22267,0.1524,hold,,,0.0,,,0,0.0,48.295437,31235,0.1503,hold,,,0.0,,,0,0.0
2007-04-23,10034003,7000073,False,False,,4.930149,0,0.0,hold,,,0.0,,,0,0.0,1.268111,0,0.0,hold,,,0.0,,,0,0.0,68.260002,22267,0.1515,hold,,,0.0,,,0,0.0,48.470783,31235,0.1509,hold,,,0.0,,,0,0.0
