Date,equity,cash,is_month_start,rebalanced,rebalance_reason,tqqq_close,tqqq_shares,tqqq_weight,tqqq_signal_today,tqqq_pending_intent,tqqq_pending_reason,tqqq_pending_delta,tqqq_executed_intent,tqqq_exec_side,tqqq_exec_shares,tqqq_exec_price
2004-11-18,10000000,10000000,False,False,,0.545865,0,0.0,hold,,,0.0,,,0,0.0
2004-11-19,10000000,10000000,False,False,,0.520316,0,0.0,hold,,,0.0,,,0,0.0
2004-11-22,10000000,10000000,False,False,,0.535129,0,0.0,hold,,,0.0,,,0,0.0
2004-11-23,10000000,10000000,False,False,,0.532542,0,0.0,hold,,,0.0,,,0,0.0
2004-11-24,10000000,10000000,False,False,,0.546352,0,0.0,hold,,,0.0,,,0,0.0
2004-11-26,10000000,10000000,False,False,,0.541226,0,0.0,hold,,,0.0,,,0,0.0
2004-11-29,10000000,10000000,False,False,,0.54069,0,0.0,hold,,,0.0,,,0,0.0
2004-11-30,10000000,10000000,False,False,,0.537256,0,0.0,hold,,,0.0,,,0,0.0
2004-12-01,10000000,10000000,True,False,,0.570084,0,0.0,hold,,,0.0,,,0,0.0
2004-12-02,10000000,10000000,False,False,,0.576368,0,0.0,hold,,,0.0,,,0,0.0
2004-12-03,10000000,10000000,False,False,,0.578815,0,0.0,hold,,,0.0,,,0,0.0
2004-12-06,10000000,10000000,False,False,,0.584728,0,0.0,hold,,,0.0,,,0,0.0
2004-12-07,10000000,10000000,False,False,,0.554525,0,0.0,hold,,,0.0,,,0,0.0
2004-12-08,10000000,10000000,False,False,,0.564055,0,0.0,hold,,,0.0,,,0,0.0
2004-12-09,10000000,10000000,False,False,,0.574117,0,0.0,hold,,,0.0,,,0,0.0
2004-12-10,10000000,10000000,False,False,,0.568813,0,0.0,hold,,,0.0,,,0,0.0
2004-12-13,10000000,10000000,False,False,,0.583629,0,0.0,hold,,,0.0,,,0,0.0
2004-12-14,10000000,10000000,False,False,,0.592178,0,0.0,hold,,,0.0,,,0,0.0
2004-12-15,10000000,10000000,False,False,,0.585447,0,0.0,hold,,,0.0,,,0,0.0
2004-12-16,10000000,10000000,False,False,,0.568754,0,0.0,hold,,,0.0,,,0,0.0
2004-12-17,10000000,10000000,False,False,,0.564256,0,0.0,hold,,,0.0,,,0,0.0
2004-12-20,10000000,10000000,False,False,,0.552536,0,0.0,hold,,,0.0,,,0,0.0
2004-12-21,10000000,10000000,False,False,,0.572696,0,0.0,hold,,,0.0,,,0,0.0
2004-12-22,10000000,10000000,False,False,,0.574719,0,0.0,hold,,,0.0,,,0,0.0
2004-12-23,10000000,10000000,False,False,,0.575877,0,0.0,hold,,,0.0,,,0,0.0
2004-12-27,10000000,10000000,False,False,,0.568348,0,0.0,hold,,,0.0,,,0,0.0
2004-12-28,10000000,10000000,False,False,,0.584572,0,0.0,hold,,,0.0,,,0,0.0
2004-12-29,10000000,10000000,False,False,,0.586621,0,0.0,hold,,,0.0,,,0,0.0
2004-12-30,10000000,10000000,False,False,,0.585156,0,0.0,hold,,,0.0,,,0,0.0
